EQUIPO_LOCAL;EQUIPO_VISITANTE
Burgos (Real);Cartagena F.C.
Burgos (Real);Castellón
Burgos (Real);Celta
Burgos (Real);Compostela
Burgos (Real);Dptivo. Coruña
Burgos (Real);Éibar
Burgos (Real);Elche
Burgos (Real);Espanyol
Burgos (Real);Figueres
Burgos (Real);Granada
Burgos (Real);Hércules
Burgos (Real);Las Palmas
Burgos (Real);Leganés
Burgos (Real);Levante
Burgos (Real);Lleida
Burgos (Real);Logroñés
Burgos (Real);Málaga (C.D.)
Burgos (Real);Mallorca
Burgos (Real);Marbella
Burgos (Real);Mérida
Burgos (Real);Mollerussa
Burgos (Real);Murcia
Burgos (Real);Osasuna
Burgos (Real);Oviedo
Burgos (Real);Palamós
Burgos (Real);Rac. Santander
Burgos (Real);Rayo Vallecano
Burgos (Real);Real Madrid
Burgos (Real);Real Madrid B
Burgos (Real);Real Sociedad
Burgos (Real);Rec. Huelva
Burgos (Real);Sabadell
Burgos (Real);Salamanca
Burgos (Real);Sestao
Burgos (Real);Sevilla
Burgos (Real);Sporting Gijón
Burgos (Real);Tenerife
Burgos (Real);Toledo
Burgos (Real);Valencia
Burgos (Real);Valladolid
Burgos (Real);Villarreal
Burgos (Real);Xerez
Burgos (Real);Zaragoza
Burgos;Alavés
